"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ"
"Saalfeld0Rudolstadt",26,3694.144,2899.54,794.604,61.972,732.632,"2004",8.29,518,652,142.0824615,4.956407604,6.249975242,NA,NA,5.665865031,NA,3694.144,3520.332,2724.351,183.16,612.821
"Saalfeld0Rudolstadt",21,11320,8004,3316,122,3194,"2007",9.28,844,953,539.047619,6.289803914,6.738152495,206.430935,335.9623931,11.87827912,-109.646348,11320,7125,3408,2737,980
"Saalfeld0Rudolstadt",21,11996,8695,3301,133,3168,"2010",7.2,661,781,571.2380952,6.347806102,6.49375384,5.971731449,-0.814026299,15.35979513,-29.30993607,11996,7850,4128,2755,967
"Saalfeld0Rudolstadt",22,10129,7179,2950,186,2764,"2013",8.08,747,891,460.4090909,6.132115422,6.616065185,-15.56352117,-12.75252525,11.3681257,25.98777782,6693,6459,2581,388,3491
"Saalfeld0Rudolstadt",20,11520,8664,2856,202,2654,"2016",9.03,865,1020,576,6.356107661,6.762729507,13.73284628,-3.979739508,11.29411765,0.651013688,8420,8408,4004,858,3545
"Saalfeld0Rudolstadt",22,12930,9623,3307,221,3086,"2019",9.78,926,1100,587.7272727,6.376263018,6.830874235,12.23958333,16.27731726,11.75454545,-4.076704545,9494,9483,4843,606,4034
"Schmalkalden0Meiningen",25,1487.222,1333.14,154.082,115,39,"2004",8.29,679,835,59.48888,4.085789404,6.520621128,NA,NA,1.781104192,NA,1487.222,1409.633,909.395,119.873,380.365
"Schmalkalden0Meiningen",32,3271,2194,1078,276,802,"2007",9.28,799,950,102.21875,4.627115125,6.683360946,119.9402645,1956.410256,3.443157895,-93.31591666,3271,2623,1243,1256,125
"Schmalkalden0Meiningen",26,3039,2117,922,180,743,"2010",7.2,803,967,116.8846154,4.761187255,6.688354714,-7.092632223,-7.356608479,3.142709411,8.725957199,3039,2364,1137,1159,68
"Schmalkalden0Meiningen",26,2438,1935,504,306,198,"2013",8.08,864,1050,93.76923077,4.540836772,6.761572769,-19.77624218,-73.3512786,2.321904762,26.11773923,2409,2382,1017,1274,91
"Schmalkalden0Meiningen",27,2400,1847,553,310,244,"2016",9.03,1072,1275,88.88888889,4.48738715,6.977281342,-1.558654635,23.23232323,1.882352941,18.93065676,2363,2357,1079,1204,74
"Schmalkalden0Meiningen",25,3075,2731,344,291,53,"2019",9.78,1044,1270,123,4.812184355,6.950814768,28.125,-78.27868852,2.421259843,-28.62942913,3021,3013,1766,1195,52
"Sömmerda",8,336.183875,NA,NA,NA,0,"2004",8.29,521,610,NA,NA,6.255750042,NA,NA,0.551121107,NA,NA,NA,NA,0,0
"Sömmerda",9,2669,2364,306,306,0,"2007",9.28,431,523,296.5555556,5.692234572,6.06610809,693.9107728,NA,5.103250478,-825.9762359,2669,2665,2569,33,63
"Sömmerda",16,2235,1679,557,317,239,"2010",7.2,312,418,139.6875,4.939407785,5.743003188,-16.26077182,Inf,5.346889952,-4.77420176,2235,2012,1886,69,57
"Sömmerda",21,1914,1429,485,375,110,"2013",8.08,456,569,91.14285714,4.512428134,6.12249281,-14.36241611,-53.9748954,3.363796134,37.0887345,1799,1799,731,32,1036
"Sömmerda",18,2117,1434,683,490,193,"2016",9.03,531,650,117.6111111,4.767383513,6.274762021,10.60606061,75.45454545,3.256923077,3.177156177,1939,1939,896,11,1033
"Sömmerda",19,2374,1597,777,554,222,"2019",9.78,623,754,124.9473684,4.827892596,6.434546519,12.1398205,15.02590674,3.148541114,3.327740948,2150,1650,1048,5,597
"Sonneberg",15,414.992,301.832,113.16,113.16,0,"2004",8.29,417,467,27.66613333,3.320209042,6.033086222,NA,NA,0.888633833,NA,414.992,412.181,394.429,0,17.752
"Sonneberg",10,416,294,122,122,0,"2007",9.28,434,486,41.6,3.728100167,6.073044534,0.242896249,NA,0.855967078,3.676064716,416,408,276,0,132
"Sonneberg",10,500,380,121,121,0,"2010",7.2,489,551,50,3.912023005,6.192362489,20.19230769,NA,0.907441016,-6.013541812,500,388,269,0,119
"Sonneberg",12,477,384,93,93,0,"2013",8.08,575,633,39.75,3.682609841,6.354370041,-4.6,NA,0.753554502,16.95829384,475,355,310,0,45
"Sonneberg",11,343,262,81,81,0,"2016",9.03,604,677,31.18181818,3.439835174,6.403574198,-28.09224319,NA,0.506646972,32.7657163,341,321,281,0,40
"Sonneberg",10,378,294,84,84,0,"2019",9.78,637,711,37.8,3.632309103,6.456769656,10.20408163,NA,0.53164557,-4.934125549,376,360,320,0,40
"Stadt Eisenach",3,321,NA,NA,NA,NA,"2004",8.29,622,664,NA,NA,6.432940093,NA,NA,0.483433735,NA,NA,NA,NA,0,0
"Stadt Eisenach",6,803,727,77,64,13,"2007",9.28,587,626,133.8333333,4.896595245,6.37502482,150.1557632,NA,1.282747604,-165.3409374,803,431,383,0,48
"Stadt Eisenach",3,714,NA,NA,NA,0,"2010",7.2,354,403,238,5.472270674,5.869296913,-11.08343711,-100,1.771712159,-38.11853193,714,388,23,0,365
"Stadt Eisenach",5,613,537,76,73,3,"2013",8.08,380,433,122.6,4.808927024,5.940171253,-14.14565826,Inf,1.415704388,20.09399603,383,383,215,0,168
"Stadt Eisenach",6,501,378,123,123,0,"2016",9.03,666,736,83.5,4.424846632,6.501289671,-18.27079935,-100,0.680706522,51.91746755,478,478,360,38,80
"Stadt Eisenach",6,390,270,120,120,0,"2019",9.78,525,588,65,4.17438727,6.263398263,-22.15568862,NA,0.663265306,2.562222494,391,391,206,10,175
"Stadt Erfurt",8,933.471,199.431,734.04,734.04,0,"2004",8.29,591,861,116.683875,4.759468355,6.381816017,NA,NA,1.084170732,NA,933.471,923.384,817.758,91.88,13.746
"Stadt Erfurt",23,2466,1166,1300,1185,115,"2007",9.28,754,1025,107.2173913,4.674858468,6.625392368,164.1753199,Inf,2.405853659,-121.9072687,2466,2356,1944,103,308
"Stadt Erfurt",22,2319,1180,1139,1098,42,"2010",7.2,704,1019,105.4090909,4.657848884,6.556778356,-5.96107056,-63.47826087,2.27576055,5.407357531,2319,2259,1921,102,235
"Stadt Erfurt",30,2356,1117,1239,1209,30,"2013",8.08,783,1111,78.53333333,4.363523163,6.663132696,1.595515308,-28.57142857,2.120612061,6.817434654,2304,2299,1881,207,212
"Stadt Erfurt",31,2883,1280,1603,1556,47,"2016",9.03,761,1157,93,4.532599493,6.634633358,22.36842105,56.66666667,2.49178911,-17.503298,2796,2791,2388,216,187
"Stadt Erfurt",31,3127,1313,1814,1763,52,"2019",9.78,846,1241,100.8709677,4.613842153,6.74051936,8.463406174,10.63829787,2.519742143,-1.121805756,3029,3024,2590,334,99
"Stadt Gera",2,113.912754545455,NA,NA,NA,0,"2004",8.29,178,258,NA,NA,5.18178355,NA,NA,NA,NA,NA,NA,NA,0,0
"Stadt Gera",7,205,145,60,60,0,"2007",9.28,240,315,29.28571429,3.37709983,5.480638923,NA,NA,0.650793651,NA,205,204,166,22,16
"Stadt Gera",7,182,155,26,26,0,"2010",7.2,306,386,26,3.258096538,5.723585102,-11.2195122,NA,0.471502591,27.54960192,182,181,134,33,14
"Stadt Gera",9,368,241,127,125,2,"2013",8.08,265,357,40.88888889,3.710858361,5.579729826,102.1978022,Inf,1.030812325,-118.6228337,367,244,220,0,24
"Stadt Gera",10,378,171,207,207,0,"2016",9.03,314,420,37.8,3.632309103,5.749392986,2.717391304,-100,0.9,12.69021739,378,329,302,0,27
"Stadt Gera",9,955.4005,NA,NA,NA,NA,"2019",9.78,318,440,NA,NA,5.762051383,152.751455,NA,2.171364773,-141.2627525,NA,NA,NA,0,0
"Stadt Jena",12,531.237,NA,NA,294.314,NA,"2004",8.29,589,650,44.26975,3.7903016,6.378426184,NA,NA,0.817287692,NA,531.237,472.173,280.3,13.655,178.218
"Stadt Jena",11,1310.66375,NA,NA,NA,NA,"2007",9.28,841,926,NA,NA,6.73459166,146.7192138,NA,1.415403618,-73.18303347,NA,NA,NA,0,0
"Stadt Jena",11,1140,751,388,167,221,"2010",7.2,754,860,103.6363636,4.640888269,6.625392368,-13.02116962,NA,1.325581395,6.346050076,1140,1136,434,0,701
"Stadt Jena",12,983,NA,NA,NA,NA,"2013",8.08,834,949,81.91666667,4.40570247,6.726233402,-13.77192982,NA,1.035827187,21.85865084,974,967,477,5,485
"Stadt Jena",12,1441.7955,NA,NA,NA,NA,"2016",9.03,958,1090,NA,NA,6.864847778,46.67299084,NA,1.322748165,-27.6996957,1153,1153,697,81,375
"Stadt Jena",14,1690,867,823,608,215,"2019",9.78,1142,1297,120.7142857,4.793426478,7.04053639,17.21495871,NA,1.303006939,1.492440252,1419,1419,661,45,713
