"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ","summer_TMK","summer_TXK","hot_days25","hot_days30","wa_3","cooling","log_gva_2010","log_gva_std","log_cooling"
"Stadt Erfurt",31,3127,1313,1814,1763,52,"2019",9.78,846,1241,100.8709677,4.613842153,6.74051936,8.463406174,10.63829787,2.519742143,-1.121805756,3029,3024,2590,334,99,19.6482209079949,26.5077487341366,64,20,"3024",105,6.556778356,0.183741004000001,4.65396035015752
"Stadt Gera",9,368,241,127,125,2,"2013",8.08,265,357,40.88888889,3.710858361,5.579729826,102.1978022,Inf,1.030812325,-118.6228337,367,244,220,0,24,18.076235161311,23.8837452743233,37,11,"244",1,5.723585102,-0.143855276,0
"Stadt Gera",10,378,171,207,207,0,"2016",9.03,314,420,37.8,3.632309103,5.749392986,2.717391304,-100,0.9,12.69021739,378,329,302,0,27,18.4857959465405,24.376104133265,52,10,"329",1,5.723585102,0.0258078839999998,0
"Stadt Jena",11,1140,751,388,167,221,"2010",7.2,754,860,103.6363636,4.640888269,6.625392368,-13.02116962,NA,1.325581395,6.346050076,1140,1136,434,0,701,18.1661316820295,23.893007490113,37,10,"1136",814,6.625392368,0,6.70196036600254
"Stadt Jena",12,983,NA,NA,NA,NA,"2013",8.08,834,949,81.91666667,4.40570247,6.726233402,-13.77192982,NA,1.035827187,21.85865084,974,967,477,5,485,18.135471161247,24.1308418756237,41,14,"967",478,6.625392368,0.100841034,6.16961073249146
"Stadt Jena",12,1441.7955,NA,NA,NA,NA,"2016",9.03,958,1090,NA,NA,6.864847778,46.67299084,NA,1.322748165,-27.6996957,1153,1153,697,81,375,18.5687689707247,24.4614704853213,51,13,"1153",438,6.625392368,0.23945541,6.08221891037645
"Stadt Jena",14,1690,867,823,608,215,"2019",9.78,1142,1297,120.7142857,4.793426478,7.04053639,17.21495871,NA,1.303006939,1.492440252,1419,1419,661,45,713,19.8530577086116,26.600651482552,63,22,"1419",549,6.625392368,0.415144022,6.30809844150953
"Stadt Suhl",3,117,NA,NA,NA,0,"2010",7.2,94,133,39,3.663561646,4.543294782,NA,NA,0.879699248,NA,117,117,108,0,10,16.2791118938746,21.4198830523404,25,8,"117",22,4.543294782,0,3.09104245335832
"Stadt Suhl",4,190,NA,NA,NA,0,"2013",8.08,127,180,47.5,3.860729711,4.844187086,62.39316239,NA,1.055555556,-19.99050332,190,190,190,0,0,16.2796664389208,21.7082310531905,25,6,"190",13,4.543294782,0.300892304,2.56494935746154
"Stadt Suhl",3,132,0,132,132,0,"2016",9.03,156,205,44,3.784189634,5.049856007,-30.52631579,NA,0.643902439,38.9987163,132,132,132,0,0,16.185395087431,21.425725914802,22,5,"132",6,4.543294782,0.506561225,1.79175946922805
